Question_ID,Paragraph,Type,Question_Text,Option_A,Option_B,Option_C,Option_D,Answer,Explanation
Q01,1,MC,Where did the narrator's uncle live?,In America,In Africa,In Australia,In Europe,In Africa,The text says he lived in Africa.
Q02,1,MC,What did the uncle usually do when he visited?,He bought toys,He played tennis,He told stories,He cooked dinner,He told stories,The text says he usually told one of his stories.
Q03,1,MC,Which story was the narrator's favourite?,The Magic Cup,Ben's wishes,The Silver Spoon,The Lost Dog,Ben's wishes,The text says 'Ben's wishes' was my favourite.
Q04,1,MC,How old was the narrator when the uncle told the story?,About five,About ten,About fifteen,About twelve,About ten,The text says 'I was about ten, I think.'
Q05,1,MC,What was the weather like when the uncle told the story?,It was very hot,It was raining,It was very cold outside,It was sunny,It was very cold outside,The text says 'one winter when it was very cold outside.'
Q01_11,1,MC,Who is the story about?,A young boy named Tom,A young girl named Betty,An old man,A dog,A young girl named Betty,The text says 'This is a story about a young girl named Betty.'
Q01_12,1,MC,Where did Betty live?,In a big city,In a small village,On a farm,In a castle,In a small village,The text says 'She lived in a small village.'
Q01_13,1,MC,What did Betty love to do?,Play games,Read books,Explore the forest,Cook food,Explore the forest,The text says 'Betty loved to explore the forest near her home.'
Q01_14,1,MC,What was near Betty's home?,A river,A mountain,A forest,A beach,A forest,The text says 'the forest near her home.'
Q01_15,1,MC,What did Betty find one day?,A magic wand,A hidden cave,A lost dog,A shiny coin,A hidden cave,"The text says 'One day, she found a hidden cave.'"
Q01_16,1,MC,How did Betty feel when she found the cave?,Scared,Excited,Sad,Bored,Excited,The text says 'She was very excited.'
Q01_17,1,MC,Did Betty go into the cave immediately?,Yes,"No, she went home first","No, she waited for a friend","No, she was too scared",Yes,The text implies she went in: 'She went inside to see what was there.'
Q01_18,1,MC,What was it like inside the cave?,Bright and warm,Dark and cool,Loud and noisy,Small and crowded,Dark and cool,The text says 'It was dark and cool inside.'
Q01_19,1,MC,What did Betty see on the walls of the cave?,Paintings of animals,Shiny crystals,Strange writing,Nothing,Shiny crystals,The text says 'She saw shiny crystals on the walls.'
Q01_20,1,MC,What color were the crystals?,Red and blue,Green and yellow,Silver and gold,Purple and pink,Green and yellow,The text says 'The crystals were green and yellow.'
Q06,2,MC,How many older brothers did Ben have?,One,Two,Three,Four,Two,The text says 'A boy called Ben had two older brothers.'
Q07,2,MC,Why did the older brothers often feel angry?,Because they were poor,Because they were rich,Because they were sick,Because they were tired,Because they were poor,The text says 'often got angry because they were so poor.'
Q08,2,MC,What did the brothers want Ben to do each morning?,Go to school,Work in the fields,Clean the house,Wash the clothes,Work in the fields,The text says 'Go and work in the fields!'
Q09,2,MC,What did Ben want to do?,Play with friends,Go to school and learn,Sleep all day,Buy new clothes,Go to school and learn,Ben said 'I want to go to school and learn all about the world!'
Q10,2,MC,What did the brothers say when Ben wanted to go to school?,You are too young,You aren't clever enough,You are too busy,You have no money,You aren't clever enough,The brothers said 'You aren't clever enough to go to school like us.'
Q02_11,2,MC,What did Betty hear in the cave?,A loud roar,A soft whisper,Water dripping,Birds singing,A soft whisper,The text says 'She heard a soft whisper.'
Q02_12,2,MC,Who was whispering?,A ghost,A fairy,A small dragon,A bat,A small dragon,The text says 'It was a small dragon.'
Q02_13,2,MC,What color was the dragon?,Red,Green,Blue,Black,Blue,The text says 'The dragon was blue.'
Q02_14,2,MC,What did the dragon ask Betty?,What is your name?,Can you help me?,Where am I?,Do you have food?,Can you help me?,"The text says 'The dragon asked, ""Can you help me?""'"
Q02_15,2,MC,Why did the dragon need help?,It was hungry,It was lost,Its wing was hurt,It was trapped,Its wing was hurt,The text says 'Its wing was hurt.'
Q02_16,2,MC,Was Betty afraid of the dragon?,"Yes, very afraid","No, she wasn't afraid",A little bit,She ran away,"No, she wasn't afraid",The text says 'Betty wasn't afraid.'
Q02_17,2,MC,What did Betty use to help the dragon?,A bandage,A piece of cloth from her dress,Some leaves,Magic,A piece of cloth from her dress,The text says 'She used a piece of cloth from her dress to tie the wing.'
Q02_18,2,MC,How did the dragon feel after Betty helped it?,Still in pain,Angry,Much better,Tired,Much better,The text says 'The dragon felt much better.'
Q02_19,2,MC,What did the dragon give Betty?,A gold coin,A shiny crystal,A magic spell,A ride on its back,A shiny crystal,The text says 'It gave Betty a shiny crystal to say thank you.'
Q02_20,2,MC,What did Betty promise the dragon?,To bring food,To keep the cave a secret,To come back every day,To tell everyone,To keep the cave a secret,The text says 'Betty promised to keep the cave a secret.'
Q11,3,MC,What did Ben want to have?,A new toy,100 new books,A lot of money,A big house,100 new books,Ben said 'I'd like 100 new books so I can learn all about the world'
Q12,3,MC,Where did the new books fall from?,From the sky,From the roof,From between the leaves in the tree,From the window,From between the leaves in the tree,The text says '100 new books fell from between the leaves in the tree above him.'
Q13,3,MC,How did Ben feel when he got the books?,Sad,Angry,Lucky,Bored,Lucky,The text says 'He felt so lucky!'
Q14,3,MC,Where did Ben put the old cup?,In his bag,In his pocket,On the table,Under the tree,In his pocket,The text says 'put the old cup in his pocket'
Q15,3,MC,What did Ben do with the books at home?,He sold them,He hid them,He sat down by the fire and read them all,He gave them to his brothers,He sat down by the fire and read them all,The text says 'carried the books home, sat down by the fire and read them all.'
Q16,4,MC,How did Ben's brothers feel when they came home?,Happy,Surprised,Really angry,Tired,Really angry,The text says 'When Ben's older brothers came home, they were really angry.'
Q17,4,MC,What did Ben find in the field?,An old cup,A silver coin,A gold ring,A magic wand,An old cup,Ben says 'I found an old cup in the field today.'
Q18,4,MC,What did the cup give Ben?,Money and sweets,Hot chocolate, a warm coat and 100 new books,A new car,A big house,Hot chocolate, a warm coat and 100 new books,Ben says 'It gave me hot chocolate, a warm coat and 100 new books to read.'
Q19,4,MC,What did Ben learn about?,Only about math,All about the world and animals,How to cook,How to farm,All about the world and animals,Ben says 'I've learned all about the world and all the animals'
Q20,4,MC,What did Ben tell his brothers to do if they wanted dinner?,Cook it themselves,Ask the silver cup for it,Go to the restaurant,Wait for him to cook,Ask the silver cup for it,Ben says 'If you want your dinner, just ask the silver cup for it!'
Q21,5,MC,What did the oldest brother wish for?,A new house,A room full of money,A new car,A lot of books,A room full of money,The oldest brother shouted 'Give me a room full of money.'
Q22,5,MC,What did the other brother wish for?,More money and a room full of sweets,A trip to Africa,A new coat,A big farm,More money and a room full of sweets,The other brother said 'Give me more money than my brother and a room full of sweets'
Q23,5,MC,What happened to the empty bowls?,They broke,They were full of vegetable soup,They disappeared,They became gold,They were full of vegetable soup,The text says 'The empty bowls were suddenly full of vegetable soup.'
Q24,5,MC,Why did the brothers begin to fight?,They wanted the food,They both wanted the cup,They wanted the books,They hated each other,They both wanted the cup,One shouted 'Give me that cup!' and the other said 'No! It's mine.'
Q25,5,MC,What happened when the cup fell and broke?,Everything doubled,Everything disappeared,The house caught fire,The brothers ran away,Everything disappeared,The text says 'all the sweets, the money... disappeared.'
Q26,6,MC,How did the narrator feel about that part of the story?,Happy,Excited,Very sad,Bored,Very sad,The narrator says 'I felt very sad when my uncle told me that part of the story.'
Q27,6,MC,What couldn't the cup make disappear?,The brothers,The house,The stories about the world from Ben's head,The old clothes,The stories about the world from Ben's head,The uncle says 'But the cup couldn't make all the stories about the world disappear from Ben's head.'
Q28,6,MC,What did Ben do when he was a man?,He became a farmer,He visited all the countries in the world,He stayed at home,He bought a new cup,He visited all the countries in the world,The text says 'when Ben was a man, he visited all the countries in the world'
Q29,6,MC,What did the narrator just call his uncle?,Mr. Ben,Uncle,John,Grandpa,Uncle,The narrator says 'I just called him Uncle.'
Q30,6,MC,Who does the narrator think the uncle might be?,Ben's brother,Ben,A pirate,A teacher,Ben,The text says 'Perhaps, just perhaps, it was Ben.'
