Word,POS,Definition,Synonym-English 1,Synonym-Chinnese 1,Antonym-English 1,Antonym-Chinese 1,Synonym-English 2,Synonym-Chinese 2,Antonym-English 2,Antonym-Chinese 2,Phrase,Example-English 1,Example-Chinnese 1,Example-English 2,Example-Chinnese 2,Example-English 3,Example-Chinnese 3,Ex3-Pattern,Ex3-Tense,CEFR,Para
middle,n + adj,the center part of something,center,中心的,edge,邊緣的,central,中央的,side,旁邊的,in the middle of,The teacher stood in the middle of the classroom so everyone could see her.,老師站在教室中央，這樣大家都能看到她。,There is a beautiful fountain in the middle of the park.,公園中央有一個美麗的噴泉。,Do not stop in the middle of the road.,不要停在繁忙道路的中央。,片語,現在簡單式,A2,"1, 6"
traffic,n,all the cars moving on a road,cars,車輛,,,transport,交通,,,heavy traffic,We were late for the movie because we got stuck in heavy traffic on the highway.,我們看電影遲到了，因為我們被困在高速公路上的繁忙交通中。,There is always heavy traffic in the city center during rush hour.,尖峰時段市中心總是有繁忙的交通。,There is heavy traffic on this road today.,今天這條路上有繁忙的車流。,There is/are…,現在簡單式,A2,1
London,n,the capital city of the UK,city,城市,,,capital,首都,,,visit London,My dream is to visit London and see the famous Big Ben clock tower.,我的夢想是參訪倫敦，看看著名的大笨鐘。,They will take an airplane to visit London for their summer vacation.,他們將搭飛機去參訪倫敦度暑假。,Many tourists visit London every summer.,許多遊客每年夏天參訪倫敦。,S + V + O,現在簡單式,A2,1
motorway,n,a big road where cars drive fast,road,道路,,,highway,公路,,,drive on the motorway,You can drive on the motorway to reach the next city much faster.,你可以開車在高速公路上，更快地到達下一個城市。,It is dangerous to drive on the motorway if you are feeling very sleepy.,如果你覺得很睏，開車在高速公路上是很危險的。,Sleepy drivers must not drive on the motorway today.,很睏的駕駛今天不可以在高速公路上開車。,can / must + V,現在簡單式,A2,1
pilot,n,a person who flies a plane,flyer,飛行員,passenger,乘客,driver,駕駛,,,airplane pilot,The brave airplane pilot flew the jet safely through the terrible storm.,勇敢的飛機駕駛員安全地駕駛噴射機穿過可怕的風暴。,My uncle is an airplane pilot who travels to different countries every week.,我叔叔是一名飛機駕駛員，每週都會去不同的國家旅行。,I want to be an airplane pilot someday.,我有一天想成為飛機駕駛員。,S + like / want + n / v-ing,現在簡單式,A2,3
platform,n,a place where you wait for a train,stage,平臺,,,stand,看臺,,,train platform,The passengers are waiting on the train platform for the express train to arrive.,乘客們正在火車月台上等待特快列車到達。,Please stand behind the yellow line on the train platform for your safety.,為了您的安全，請站在火車月台上的黃線後面。,We waited on the train platform this morning.,我們今天早上在火車月台等候。,S + V + O,過去式,A2,3
stay,v,to not leave a place,remain,留下,leave,離開,wait,等待,go,走,stay at home,"If you are sick with a fever, you should stay at home and rest in bed.",如果你發燒生病了，你應該待在家裡並在床上休息。,"It is raining heavily outside, so let's stay at home and watch a movie.",外面雨下得很大，所以我們待在家裡看電影吧。,My dog likes to stay at home every day.,我的狗喜歡每天待在家裡。,S + like / want + n / v-ing,現在簡單式,A2,5
eagle,n,a large bird that flies very high,bird,鳥,,,hunter,獵人,,,bald eagle,"The bald eagle flew high in the sky, looking for fish in the river below.",禿鷹在天空中高飛，尋找下方河裡的魚。,We saw a majestic bald eagle resting on the top branch of the tall tree.,我們看到一隻雄偉的禿鷹停在高樹的頂端樹枝上。,The bald eagle is a famous American bird.,禿鷹是美國著名的鳥。,S + be + adj,現在簡單式,A2,5
find out,v,to learn or discover something,end,結束,start,開始,complete,完成,begin,開始,find out the truth,The clever detective asked many questions to find out the truth about the stolen diamond.,聰明的偵探問了許多問題，以找出關於被盜鑽石的真相。,We need to check the security cameras to find out the truth of the accident.,我們需要查看監視器，以找出事故的真相。,We need to find out the truth today.,我們今天需要找出真相。,S + V + to + V,現在簡單式,A2,6
factory,n,a big building where things are made,plant,工廠,,,mill,製造廠,,,shoe factory,Hundreds of workers make sneakers and boots in the large shoe factory every day.,數百名工人在這家大型鞋廠每天製造運動鞋和靴子。,The noisy machines in the shoe factory run from morning until night.,鞋廠裡吵雜的機器從早運轉到晚。,My father works at the local shoe factory.,我父親在當地鞋廠工作。,S + V + O,現在簡單式,A2,7
office,n,a room where people work at desks,room,房間,,,workplace,工作場所,,,post office,I need to go to the post office to buy stamps and mail this heavy package.,我需要去郵局買郵票並寄這個重包裹。,"The post office is closed on Sundays, so you cannot send letters today.",郵局星期天沒開，所以你今天不能寄信。,The post office is near our school today.,郵局今天在我們學校附近。,S + be + adj,現在簡單式,A2,7
envelope,n,a paper cover for a letter,cover,封套,,,letter,信件,,,open the envelope,He used a sharp knife to open the envelope and read the secret letter inside.,他用一把鋒利的刀打開信封，閱讀裡面的秘密信件。,Do not open the envelope until it is your birthday!,直到你的生日才能打開這個信封！,I will open the envelope after lunch today.,我今天午餐後會打開信封。,S + V + O,未來式,A2,"8, 9, 13, 19, 20"
information,n,facts or details about something,data,資料,,,news,新聞,,,useful information,The internet is full of useful information for students doing their science homework.,網路上充滿了對做科學作業的學生有用的資訊。,The tour guide gave us some useful information about the history of the old castle.,導遊給了我們一些關於這座古堡歷史的有用的資訊。,This book has useful information about trains.,這本書有關火車的有用資訊。,S + V + O,,A2,8
important,adj,having great value or meaning,key,關鍵的,minor,次要的,major,重大的,trivial,微不足道的,important treasure,The pirate map shows the location of a very important treasure hidden on the island.,海盜地圖顯示了隱藏在島上一個非常重要的寶藏的位置。,This old necklace is an important treasure to our family history.,這條舊項鍊對我們家族歷史來說是一個重要的寶藏。,The museum keeps the important treasure inside.,博物館把這件重要寶物保存在裡面。,S + V + O,現在簡單式,A2,8
leave,v,to go away from a place,go,走,stay,留下,depart,出發,arrive,到達,leave the room,Please turn off the lights when you leave the room.,當你離開房間時，請關燈。,The angry man decided to leave the room and slam the door behind him.,生氣的男人決定離開房間並用力關上門。,The teacher asked him to leave the room.,老師請他離開房間。,S + V + to + V,過去式,A2,9
festival,n,a special day when people celebrate,holiday,假日,,,celebration,慶典,,,music festival,Thousands of people danced and sang at the outdoor music festival last weekend.,數千人在上週末的戶外音樂節上跳舞唱歌。,We bought tickets to see our favorite bands play at the summer music festival.,我們買了票去夏日音樂節看我們最喜歡的樂團表演。,The music festival starts in the park today.,音樂節今天要在公園開始。,S + V + O,現在簡單式,A2,11
interested,adj,wanting to know more about something,curious,好奇的,bored,無聊的,keen,熱衷的,tired,厭倦的,interested in,He is very interested in outer space and wants to be an astronaut.,他對外太空非常感興趣，並想成為一名太空人。,My sister is interested in learning how to play the guitar.,我妹妹對學習彈吉他感興趣。,I am interested in the school basketball team.,我對學校籃球隊有興趣。,片語,現在簡單式,A2,11
interesting,adj,keeping your attention because it is cool,fun,有趣的,boring,無聊的,exciting,令人興奮的,dull,乏味的,interesting story,The grandfather told an interesting story about a brave knight and a dragon.,祖父講了一個關於勇敢騎士和龍的有趣故事。,I read an interesting story in the comic book yesterday.,我昨天在漫畫書裡讀到一個有趣的故事。,My brother told an interesting story last night.,我哥哥昨晚講了一個有趣的故事。,S + V + O,過去式,A2,11
prize,n,something you win in a game,award,獎品,penalty,懲罰,reward,獎賞,fine,罰款,win a prize,"If you run the fastest in the race, you will win a prize.",如果你在比賽中跑得最快，你將贏得一個獎品。,She practiced spelling every day to win a prize in the spelling bee.,她每天練習拼字，為了在拼字比賽中贏得一個獎品。,He wants to win a prize at school today.,他今天想在學校贏得獎品。,S + like / want + n / v-ing,現在簡單式,A2,11
front,adj + n,the part that comes first,ahead,在前面,back,後面的,forward,向前的,rear,後部的,in front of,The teacher stands in front of the blackboard to teach the class.,老師站在黑板前面教課。,Please park your car in front of the supermarket.,請把你的車停在超市前面。,There is a garden in front of my house.,我家前面有一個美麗的花園。,There is/are…,現在簡單式,A2,"12, 15"
shelf,n,a flat board on a wall to put things on,board,板子,,,rack,架子,,,book on the shelf,I cannot reach the high book on the shelf without a ladder.,沒有梯子我拿不到書架上那本高處的書。,Please put the dictionary back as a book on the shelf when you are done.,當你用完時，請把字典當作書架上的書放回去。,The book on the shelf is very dusty now.,書架上那本書現在很佈滿灰塵。,S + be + adj,現在簡單式,A2,12
